station_code,timestamp,value_cm,proces_type,hoedanigheid,quality_code,status
lobith.bovenrijn.tolkamer,2026-04-07T07:00:00.000+01:00,828.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T07:10:00.000+01:00,828.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T07:20:00.000+01:00,829.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T07:30:00.000+01:00,829.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T07:40:00.000+01:00,829.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T07:50:00.000+01:00,828.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T08:00:00.000+01:00,829.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T08:10:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T08:20:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T08:30:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T08:40:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T08:50:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T09:00:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T09:10:00.000+01:00,828.0,meting,NAP,25,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T09:20:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T09:30:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T09:40:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T09:50:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T10:00:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T10:10:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T10:20:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T10:30:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T10:40:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T10:50:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T11:00:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T11:10:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T11:20:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T11:30:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T11:40:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T11:50:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T12:00:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T12:20:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T12:30:00.000+01:00,827.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T12:40:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T12:50:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T13:00:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T13:10:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T13:20:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T13:30:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T13:40:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T13:50:00.000+01:00,826.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T14:00:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T14:10:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T14:20:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T14:30:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T14:40:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
lobith.bovenrijn.tolkamer,2026-04-07T14:50:00.000+01:00,825.0,meting,NAP,00,Ongecontroleerd
